Species,Species_name,Code_ExpOp_GFS,Landclass_ExpOp_GFS,Flor_P1_b,Flor_p2_b,Flor_P3_b,Nest_per_ha,Total_score
2,GroundNestingSolitaryBees,6,Fallow,12.15384615,12.15384615,12.15384615,12.61538462,459.976331383669
2,GroundNestingSolitaryBees,7,Gardens,16.12903226,16.12903226,16.12903226,14.94117647,722.960151860949
2,GroundNestingSolitaryBees,8,Golf Courses,8.571428571,8.571428571,8.571428571,12,308.571428556
2,GroundNestingSolitaryBees,9,Grass and Legume Ley,11.36842105,11.36842105,11.36842105,6.933333333,236.463157828632
2,GroundNestingSolitaryBees,10,Grass Ley,7.75,7.75,7.75,6.285714286,146.1428571495
2,GroundNestingSolitaryBees,11,Grassy Field Edges,10.37037037,10.37037037,10.37037037,9.6,298.666666656
2,GroundNestingSolitaryBees,12,Hedgerows,16.91428571,16.91428571,16.91428571,13.02857143,661.10693868049
2,GroundNestingSolitaryBees,13,Improved Meadow,8.96,8.96,8.96,7.703703704,207.07555556352
2,GroundNestingSolitaryBees,14,Improved Permanent Grassland,4.516129032,4.516129032,4.516129032,6.75862069,91.5684093431546
2,GroundNestingSolitaryBees,15,Moorland,12.17391304,12.17391304,12.17391304,13.27272727,484.74308276585
2,GroundNestingSolitaryBees,16,Organic Ley,9.230769231,9.230769231,9.230769231,9.142857143,253.186813197099
2,GroundNestingSolitaryBees,17,Poplar,6,6,6,5.5,99
2,GroundNestingSolitaryBees,18,Salix,13,13,13,7.25,282.75
2,GroundNestingSolitaryBees,19,Salt Marsh,10.4,10.4,10.4,7.2,224.64
2,GroundNestingSolitaryBees,20,Scrub,12.17391304,12.17391304,12.17391304,9.913043478,362.041587788733
2,GroundNestingSolitaryBees,21,Unimproved Meadow,16.125,16.125,16.125,11.38461538,550.7307690075
2,GroundNestingSolitaryBees,22,Unimproved Permanent Grassland,14,14,14,12.4137931,521.3793102
2,GroundNestingSolitaryBees,23,Wetlands,8,8,8,6.4,153.6
2,GroundNestingSolitaryBees,24,Woodland Edges,13.79310345,13.79310345,13.79310345,12.64,523.034482824
2,GroundNestingSolitaryBees,25,Other1 (please state),15.2,15.2,15.2,12,547.2
2,GroundNestingSolitaryBees,26,Other2 (please state),NA,NA,NA,NA,NA
2,GroundNestingSolitaryBees,27,Berries (exc. Strawberries & Raspberries),12.76923077,12.76923077,12.76923077,6.2,237.507692322
2,GroundNestingSolitaryBees,28,Broad/Field Beans,9.161290323,9.161290323,9.161290323,8.125,223.306451623125
2,GroundNestingSolitaryBees,29,Buckwheat,8,8,8,8,192
2,GroundNestingSolitaryBees,30,Cereal,1.828571429,1.828571429,1.828571429,8,43.885714296
2,GroundNestingSolitaryBees,31,Linseed/Flax,12,12,12,4.615384615,166.15384614
2,GroundNestingSolitaryBees,32,Maize,2.24,2.24,2.24,7.130434783,47.91652174176
2,GroundNestingSolitaryBees,33,Oilseed Rape,16.22222222,16.22222222,16.22222222,8.275862069,402.758620636161
2,GroundNestingSolitaryBees,34,Orchards,17.57142857,17.57142857,17.57142857,14.37037037,757.523809442698
2,GroundNestingSolitaryBees,35,Organic Cereals,8.8,8.8,8.8,8,211.2
2,GroundNestingSolitaryBees,36,Organic Oilseed Rape,17.25,17.25,17.25,8,414
2,GroundNestingSolitaryBees,37,Peas,8,8,8,8.571428571,205.714285704
2,GroundNestingSolitaryBees,38,Potatoes,8,8,8,6.5,156
2,GroundNestingSolitaryBees,39,Reed Canary Grass,4,4,4,4,48
2,GroundNestingSolitaryBees,40,Strawberry/Raspberry in Polytunnels,9.428571429,9.428571429,9.428571429,4,113.142857148
2,GroundNestingSolitaryBees,41,Strawberry/Raspberry in the open,13.28,13.28,13.28,8.52173913,339.5060869392
